Nome,Cor,Tipo,Subtitulo,Numero na coleção,Raridade,Sigla,Lingua,Ano,Artista,Empresa,Foil
Aeroesquife,,Artefato,Veículo,233,C,KLD,PT,2016,Richard Wright,Wizards of the Coast,Não
Repúdio Revolucionário,Azul,Mágica Instantânea,,61,C,KLD,PT,2016,Zack Stella,Wizards of the Coast,Não
Repúdio Revolucionário,Azul,Mágica Instantânea,,61,C,KLD,PT,2016,Zack Stella,Wizards of the Coast,Não
Island,Azul,Basic Land,Island,62,L,DDO,EN,2015,Raoul Vitale,Wizards of the Coast,Não
Island,Azul,Basic Land,Island,62,L,DDO,EN,2015,Raoul Vitale,Wizards of the Coast,Não
Island,Azul,Basic Land,Island,253,L,KLD,EN,2016,Yeong-Hao Han,Wizards of the Coast,Não
Ilha,Azul,Terreno Básico,Ilha,253,L,KLD,PT,2016,Yeong-Hao Han,Wizards of the Coast,Não
Island,Azul,Basic Land,Island,61,L,DDO,EN,2015,Adam Paquette,Wizards of the Coast,Não
Island,Azul,Basic Land,Island,255,L,KLD,EN,2016,Johannes Voss,Wizards of the Coast,Não
Ilha,Azul,Terreno Básico,Ilha,255,L,KLD,PT,2016,Johannes Voss,Wizards of the Coast,Não
Ancião da Borrasca Etérea,Azul,Criatura,Leviatã,39,R,KLD,PT,2016,Samburley,Wizards of the Coast,Não
Vigia de Janjeet,Azul,Criatura,Vedalkeano Soldado,53,U,KLD,PT,2016,Dan Scott,Wizards of the Coast,Não
Vigia de Janjeet,Azul,Criatura,Vedalkeano Soldado,53,U,KLD,PT,2016,Dan Scott,Wizards of the Coast,Não
Vigia de Janjeet,Azul,Criatura,Vedalkeano Soldado,53,U,KLD,PT,2016,Dan Scott,Wizards of the Coast,Não
Janjeet Sentry,Azul,Creature,Vedalken Soldier,53,U,KLD,EN,2016,Dan Scott,Wizards of the Coast,Não
Island,Azul,Basic Land,Island,254,L,KLD,EN,2016,Yeong-Hao Han,Wizards of the Coast,Não
Ilha,Azul,Terreno Básico,Ilha,254,L,KLD,PT,2016,Yeong-Hao Han,Wizards of the Coast,Não
Island,Azul,Basic Land,Island,60,L,DDO,EN,2015,Steven Belledin,Wizards of the Coast,Não
Island,Azul,Basic Land,Island,60,L,DDO,EN,2015,Steven Belledin,Wizards of the Coast,Não
Island,Azul,Basic Land,Island,258,L,BFZ,EN,2015,Vincent Proce,Wizards of the Coast,Não
Selecionar para Inspeção,Azul,Mágica Instantânea,,63,C,KLD,PT,2016,James Paick,Wizards of the Coast,Não
Selecionar para Inspeção,Azul,Mágica Instantânea,,63,C,KLD,PT,2016,James Paick,Wizards of the Coast,Não
Selecionar para Inspeção,Azul,Mágica Instantânea,,63,C,KLD,PT,2016,James Paick,Wizards of the Coast,Não
Aerobaleia-de-aleta-longa,Azul,Criatura,Baleia,53,U,KLD,PT,2016,Cliff Childs,Wizards of the Coast,Não
Aerobaleia-de-aleta-longa,Azul,Criatura,Baleia,53,U,KLD,PT,2016,Cliff Childs,Wizards of the Coast,Não
Minister of Inquiries,Azul,Creature,Vedalken Advisor,57,U,KLD,EN,2016,Dan Scott,Wizards of the Coast,Não
Ministro dos Inqueritos,Azul,Criatura,Vedalkeano Conselheiro,57,U,KLD,PT,2016,Dan Scott,Wizards of the Coast,Não
Ministro dos Inqueritos,Azul,Criatura,Vedalkeano Conselheiro,57,U,KLD,PT,2016,Dan Scott,Wizards of the Coast,Não
Ministro dos Inqueritos,Azul,Criatura,Vedalkeano Conselheiro,57,U,KLD,PT,2016,Dan Scott,Wizards of the Coast,Não
Pântano,Preto,Terreno Básico,Pântano,239,L,,PT,2013,Steven Belledin,Wizards of the Coast,Não
Pântano,Preto,Terreno Básico,Pântano,240,L,,PT,2013,Jung Park,Wizards of the Coast,Não
Pântano,Preto,Terreno Básico,Pântano,258,L,DTK,PT,2015,Adam Paquette,Wizards of the Coast,Não
Pântano,Preto,Terreno Básico,Pântano,256,L,DTK,PT,2015,Noah Bradley,Wizards of the Coast,Não
Pântano,Preto,Terreno Básico,Pântano,259,L,M15,PT,2014,Cliff Childs,Wizards of the Coast,Não
Pântano,Preto,Terreno Básico,Pântano,289,L,SOI,PT,2016,Jonas De Ro,Wizards of the Coast,Não
Swamp,Preto,Basic Land,Swamp,256,L,KLD,PT,2016,James Paick,Wizards of the Coast,Não
Swamp,Preto,Basic Land,Swamp,256,L,KLD,PT,2016,James Paick,Wizards of the Coast,Não
Swamp,Preto,Basic Land,Swamp,150,L,LLC,EN,2011,Lars Grant-West,Wizards of the Coast,Não
Swamp,Preto,Basic Land,Swamp,258,L,KLD,EN,2016,Adam Paquette,Wizards of the Coast,Não
Garra de Escuridão,Preto,Mágica Instantânea,,85,U,OGW,PT,2016,Daarken,Wizards of the Coast,Não
Grasp of Darkness,Preto,Instant,,85,U,OGW,EN,2016,Daarken,Wizards of the Coast,Não
Agent da Dhund,Preto,Criatura,Humano Ladino,74,C,KLD,PT,2016,Magali Villeneuve,Wizards of the Coast,Não
Agent da Dhund,Preto,Criatura,Humano Ladino,74,C,KLD,PT,2016,Magali Villeneuve,Wizards of the Coast,Não
Agent da Dhund,Preto,Criatura,Humano Ladino,74,C,KLD,PT,2016,Magali Villeneuve,Wizards of the Coast,Não
Extração de Essência,Preto,Mágica Instantânea,,80,U,KLD,PT,2016,Min Yum,Wizards of the Coast,Não
Extração de Essência,Preto,Mágica Instantânea,,80,U,KLD,PT,2016,Min Yum,Wizards of the Coast,Não
